epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,17343.8,0.72194,0.46872,1.11972,0.92778,0.92728,0.94189,0.63336,1.15945,0.55968,1.42557,0.00108113,0.00108113,0.00108113
73,17570.8,0.73335,0.46222,1.13342,0.91899,0.9401,0.92331,0.61157,1.11626,0.55626,1.43268,0.00107288,0.00107288,0.00107288
74,17804.8,0.70111,0.42032,1.101,0.93208,0.96574,0.94777,0.61635,1.17772,0.51419,1.51689,0.00106463,0.00106463,0.00106463
75,18036,0.72809,0.43487,1.11092,0.94503,0.96483,0.95099,0.64083,1.13259,0.53443,1.42321,0.00105638,0.00105638,0.00105638
76,18265.3,0.69431,0.43444,1.09877,0.96006,0.95292,0.96532,0.66016,1.13943,0.48184,1.42613,0.00104813,0.00104813,0.00104813
77,18496.1,0.70475,0.44201,1.11813,0.94446,0.9401,0.94748,0.64917,1.07632,0.53001,1.35958,0.00103987,0.00103987,0.00103987
78,18724.9,0.71402,0.45607,1.10908,0.90207,0.93869,0.93016,0.63988,1.10806,0.52457,1.44768,0.00103162,0.00103162,0.00103162
79,18954.3,0.70671,0.45456,1.1112,0.95783,0.9401,0.93945,0.62155,1.13473,0.52573,1.45836,0.00102337,0.00102337,0.00102337
80,19180.7,0.71645,0.44162,1.12184,0.92467,0.9401,0.93108,0.64841,1.06907,0.53149,1.35587,0.00101512,0.00101512,0.00101512
81,19407,0.70226,0.44744,1.09829,0.92184,0.95292,0.93006,0.62899,1.16336,0.50612,1.45299,0.00100687,0.00100687,0.00100687
82,19634.9,0.69307,0.44777,1.10473,0.94263,0.9401,0.93045,0.64212,1.13077,0.54699,1.41806,0.000998616,0.000998616,0.000998616
83,19864.3,0.70447,0.42991,1.10554,0.95645,0.92728,0.93937,0.63734,1.12301,0.52715,1.3892,0.000990365,0.000990365,0.000990365
84,20093.1,0.67123,0.42178,1.08426,0.94451,0.96574,0.94698,0.63357,1.12659,0.48047,1.40568,0.000982113,0.000982113,0.000982113
85,20319.5,0.66958,0.4157,1.08943,0.95288,0.94812,0.95648,0.66351,1.08298,0.49516,1.38832,0.000973861,0.000973861,0.000973861
86,20549,0.68355,0.42941,1.0909,0.95107,0.95021,0.96052,0.63694,1.1424,0.48397,1.46335,0.00096561,0.00096561,0.00096561
87,20779.4,0.68189,0.43647,1.09938,0.94474,0.9401,0.9477,0.64717,1.09722,0.47555,1.40668,0.000957358,0.000957358,0.000957358
88,21005,0.69494,0.4401,1.09769,0.9542,0.92728,0.93756,0.63987,1.1438,0.49051,1.44234,0.000949106,0.000949106,0.000949106
89,21231.8,0.67669,0.41722,1.10081,0.94178,0.95292,0.95099,0.6356,1.13154,0.51797,1.41823,0.000940855,0.000940855,0.000940855
90,21467.3,0.67137,0.4254,1.08671,0.93412,0.9657,0.94478,0.63205,1.13268,0.48732,1.46106,0.000932603,0.000932603,0.000932603
91,21695.8,0.68215,0.43133,1.0876,0.92599,0.95292,0.9306,0.66084,1.09113,0.49929,1.40705,0.000924352,0.000924352,0.000924352
92,21924.7,0.65591,0.40767,1.08193,0.92618,0.9401,0.92377,0.64828,1.107,0.51025,1.40167,0.0009161,0.0009161,0.0009161
93,22151.4,0.65507,0.41108,1.08427,0.9331,0.96574,0.94291,0.65193,1.10429,0.4879,1.40777,0.000907848,0.000907848,0.000907848
94,22379.2,0.67972,0.41252,1.09031,0.90762,0.9401,0.92571,0.62069,1.15238,0.50985,1.46981,0.000899597,0.000899597,0.000899597
95,22611.4,0.67379,0.41689,1.08628,0.93139,0.95172,0.93857,0.62291,1.14186,0.51239,1.4708,0.000891345,0.000891345,0.000891345
96,22841.3,0.66783,0.44692,1.08538,0.92274,0.94965,0.94829,0.63303,1.14766,0.53945,1.51471,0.000883093,0.000883093,0.000883093
97,23070.3,0.64533,0.42274,1.07613,0.93776,0.95292,0.95608,0.66157,1.07249,0.48736,1.39296,0.000874842,0.000874842,0.000874842
98,23300.4,0.64945,0.43303,1.08244,0.94295,0.95292,0.95004,0.64986,1.07385,0.4963,1.41284,0.00086659,0.00086659,0.00086659
99,23531,0.65658,0.4039,1.08003,0.94804,0.96545,0.95382,0.65523,1.10389,0.47375,1.44249,0.000858338,0.000858338,0.000858338
100,23756.9,0.65304,0.40703,1.08692,0.92078,0.95292,0.94747,0.63668,1.10567,0.49658,1.422,0.000850087,0.000850087,0.000850087
101,23981.7,0.64793,0.39308,1.08142,0.92496,0.96574,0.94299,0.62439,1.13125,0.51864,1.48731,0.000841835,0.000841835,0.000841835
