epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,57626.5,0.85382,0.86949,1.16463,0.9794,0.64858,0.65869,0.45654,0.84873,0.84877,1.13963,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,59044.7,0.84444,0.87337,1.15524,0.9805,0.65451,0.65424,0.4601,0.89537,0.80293,1.15864,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,60415.4,0.84631,0.86638,1.15472,0.97477,0.65065,0.65458,0.45911,0.82206,0.86169,1.11207,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,61762.1,0.84707,0.84796,1.15858,0.64831,0.65599,0.65078,0.457,0.77431,0.86117,1.12235,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,63108,0.8412,0.85187,1.15381,0.98512,0.65578,0.66152,0.46793,0.86711,0.77331,1.14294,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,64450.6,0.8375,0.85254,1.15694,0.97945,0.64824,0.65741,0.46511,0.79518,0.88607,1.1217,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,65785,0.81787,0.84354,1.14376,0.64611,0.65315,0.65699,0.4711,0.85148,0.75762,1.12688,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,67167.1,0.83079,0.84302,1.15068,0.97905,0.65303,0.65809,0.46817,0.85033,0.80643,1.13282,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,68543.2,0.81916,0.84173,1.14592,0.67305,0.82087,0.74567,0.54012,0.81529,0.81054,1.12291,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,69904.7,0.8236,0.83264,1.14545,0.65142,0.65303,0.65905,0.46386,0.78716,0.84007,1.11478,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,71267,0.81671,0.84151,1.14707,0.64648,0.65689,0.65741,0.45263,0.86937,0.81864,1.14931,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,72671.4,0.81573,0.84383,1.14367,0.97853,0.65421,0.65328,0.46546,0.81767,0.78517,1.11025,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,74074.4,0.79551,0.83662,1.13805,0.9736,0.64802,0.65902,0.46123,0.8344,0.81845,1.14385,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,75585.5,0.79754,0.8388,1.13267,0.98113,0.65561,0.65574,0.46685,0.78744,0.80054,1.11311,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,77059.8,0.79621,0.83666,1.13495,0.62529,0.64137,0.65338,0.46657,0.80669,0.81941,1.12309,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,78504.8,0.79598,0.82829,1.13436,0.98367,0.65895,0.65629,0.4629,0.76465,0.78611,1.11011,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,79855.4,0.79619,0.83264,1.13633,0.64453,0.65537,0.65262,0.45079,0.88233,0.81213,1.14332,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,81208.2,0.79931,0.82928,1.13099,0.97932,0.65599,0.65192,0.4647,0.83184,0.75077,1.13874,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,82758.7,0.78613,0.81881,1.13053,0.64469,0.65599,0.6487,0.45494,0.75912,0.82983,1.10607,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,84322.9,0.78815,0.81705,1.13221,0.9805,0.65571,0.65741,0.47144,0.76449,0.78599,1.11404,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,85874.6,0.78103,0.82617,1.12619,0.97351,0.6469,0.65885,0.47499,0.74685,0.75183,1.07635,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,87397.8,0.76811,0.81,1.11705,0.98107,0.65803,0.65868,0.47797,0.77395,0.7551,1.1094,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
